ORDERNUMBER;ORDERDATE;REQUIREDDATE;SHIPPEDDATE;STATUS;PRODUCTCODE;QUANTITYORDERED;PRICEEACH;ORDERLINENUMBER;PRODUCTNAME;PRODUCTLINE;PRODUCTSCALE;PRODUCTVENDOR;PRODUCTDESCRIPTION;QUANTITYINSTOCK;BUYPRICE;MSRP;CUSTOMERNUMBER;CUSTOMERNAME;CITY;STATE;POSTALCODE;COUNTRY;CREDITLIMIT;FIRSTNAME;LASTNAME;EMAIL;JOBTITLE;OFFICECODE;CITY_1;PHONE;STATE_1;COUNTRY_1;POSTALCODE_1;TERRITORY
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S24_2360;29;67,18;16;1982 Ducati 900 Monster;Motorcycles;01:24;Highway 66 Mini Classics;Features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand;6840;47,1;69,26;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S24_2972;20;34,36;1;1982 Lamborghini Diablo;Classic Cars;01:24;Second Gear Diecast;This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.;7723;16,24;37,76;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S24_3371;27;52,05;6;1971 Alpine Renault 1600s;Classic Cars;01:24;Welly Diecast Productions;This 1971 Alpine Renault 1600s replica Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.;7995;38,58;61,23;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S24_3856;47;139,03;2;1956 Porsche 356A Coupe;Classic Cars;01:18;Classic Metal Creations;Features include: Turnable front wheels* steering function* detailed interior* detailed engine* opening hood* opening trunk* opening doors* and detailed chassis.;6600;98,3;140,43;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S24_4620;23;76,8;11;1961 Chevrolet Impala;Classic Cars;01:18;Classic Metal Creations;This 1:18 scale precision die-cast reproduction of the 1961 Chevrolet Impala has all the features-doors, hood and trunk that open* detailed 409 cubic-inch engine* chrome dashboard and stick shift, two-tone interior* working steering system* all topped of with a factory baked-enamel finish.;7869;32,33;80,84;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S32_2206;33;38,62;14;1982 Ducati 996 R;Motorcycles;01:32;Gearbox Collectibles;Features rotating wheels , working kick stand. Comes with stand.;9241;24,14;40,23;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S32_4485;30;91,85;17;1974 Ducati 350 Mk3 Desmo;Motorcycles;01:32;Second Gear Diecast;This model features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand;3341;56,13;102,05;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10135;7/2/2019;7/12/2019;7/3/2019;Shipped;S50_4713;44;78,92;15;2002 Yamaha YZR M1;Motorcycles;01:50;Autoart Studio Design;Features rotating wheels , working kick stand. Comes with stand.;600;34,17;81,36;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S12_1108;33;166,24;12;2001 Ferrari Enzo;Classic Cars;01:12;Second Gear Diecast;Turnable front wheels* steering function* detailed interior* detailed engine* opening hood* opening trunk* opening doors* and detailed chassis.;3619;95,59;207,8;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S12_3148;33;140,5;13;1969 Corvair Monza;Classic Cars;01:18;Welly Diecast Productions;"1:18 scale die-cast about 10"" long doors open, hood opens, trunk opens and wheels roll";6906;89,14;151,08;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S12_3891;46;167,83;11;1969 Ford Falcon;Classic Cars;01:12;Second Gear Diecast;Turnable front wheels* steering function* detailed interior* detailed engine* opening hood* opening trunk* opening doors* and detailed chassis.;1049;83,05;173,02;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S18_3140;47;129,76;8;1903 Ford Model A;Vintage Cars;01:18;Unimax Art Galleries;Features opening trunk,  working steering system;3913;68,3;136,59;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S18_3259;22;95,8;10;Collectable Wooden Train;Trains;01:18;Carousel DieCast Legends;Hand crafted wooden toy train set is in about 1:18 scale, 25 inches in total length including 2 additional carts, of actual vintage train. This antique style wooden toy train model set is all hand-assembled with 100% wood.;6450;67,56;100,84;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S18_4027;24;122,08;15;1970 Triumph Spitfire;Classic Cars;01:18;Min Lin Diecast;Features include opening and closing doors. Color: White.;5545;91,92;143,62;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S18_4522;24;79,87;7;1904 Buick Runabout;Vintage Cars;01:18;Exoto Designs;Features opening trunk,  working steering system;8290;52,66;87,77;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S24_2011;33;114,29;6;18th century schooner;Ships;01:24;Carousel DieCast Legends;All wood with canvas sails. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 4 masts, all square-rigged.;1898;82,34;122,89;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S24_3151;49;74,35;1;1912 Ford Model T Delivery Wagon;Vintage Cars;01:24;Min Lin Diecast;This model features chrome trim and grille, opening hood, opening doors, opening trunk, detailed engine, working steering system. Color white.;9173;46,91;88,51;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S32_3207;42;60,9;16;1950's Chicago Surface Lines Streetcar;Trains;01:32;Gearbox Collectibles;This streetcar is a joy to see. It has 80 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).;8601;26,72;62,14;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S50_1514;42;56,24;14;1962 City of Detroit Streetcar;Trains;01:50;Classic Metal Creations;This streetcar is a joy to see. It has 99 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).;1645;37,49;58,58;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S700_1138;41;55,34;2;The Schooner Bluenose;Ships;0,527777778;Autoart Studio Design;All wood with canvas sails. Measures 31 1/2 inches in Length, 22 inches High and 4 3/4 inches Wide. Many extras.The schooner Bluenose was built in Nova Scotia in 1921 to fish the rough waters off the coast of Newfoundland. Because of the Bluenose racing prowess she became the pride of all Canadians. Still featured on stamps and the Canadian dime, the Bluenose was lost off Haiti in 1946.;1897;34;66,67;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S700_1938;43;77,08;9;The Mayflower;Ships;0,527777778;Studio M Art Models;Measures 31 1/2 inches Long x 25 1/2 inches High x 10 5/8 inches Wide All wood with canvas sail. Extras include long boats, rigging, ladders, railing, anchors, side cannons, hand painted, etc.;737;43,3;86,61;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S700_3505;21;92,16;3;The Titanic;Ships;0,527777778;Carousel DieCast Legends;Completed model measures 19 1/2 inches long, 9 inches high, 3inches wide and is in barn red/black. All wood and metal.;1956;51,09;100,17;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S700_3962;38;91,37;4;The Queen Mary;Ships;0,527777778;Welly Diecast Productions;Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.;5088;53,63;99,31;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10142;8/8/2019;8/16/2019;8/13/2019;Shipped;S72_3212;39;46,96;5;Pont Yacht;Ships;0,091666667;Unimax Art Galleries;Measures 38 inches Long x 33 3/4 inches High. Includes a stand. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 2 masts, all square-rigged;414;33,3;54,6;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S18_1342;25;83,22;3;1937 Lincoln Berline;Vintage Cars;01:18;Motor City Art Classics;Features opening engine cover, doors, trunk, and fuel filler cap. Color black;8693;60,62;102,74;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S18_1367;32;44,21;2;1936 Mercedes-Benz 500K Special Roadster;Vintage Cars;01:18;Studio M Art Models;This 1:18 scale replica is constructed of heavy die-cast metal and has all the features of the original: working doors and rumble seat, independent spring suspension, detailed interior, working steering system, and a bifold hood that reveals an engine so accurate that it even includes the wiring. All this is topped off with a baked enamel finish. Color white.;8635;24,26;53,91;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S18_1749;44;159,8;10;1917 Grand Touring Sedan;Vintage Cars;01:18;Welly Diecast Productions;This 1:18 scale replica of the 1917 Grand Touring car has all the features you would expect from museum quality reproductions: all four doors and bi-fold hood opening, detailed engine and instrument panel, chrome-look trim, and tufted upholstery, all topped off with a factory baked-enamel finish.;2724;86,7;170;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S18_2248;38;54,49;9;1911 Ford Town Car;Vintage Cars;01:18;Motor City Art Classics;Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system.;540;33,3;60,54;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S18_2325;20;105,52;7;1932 Model A Ford J-Coupe;Vintage Cars;01:18;Autoart Studio Design;This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine;9354;58,48;127,13;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S18_2795;21;135;4;1928 Mercedes-Benz SSK;Vintage Cars;01:18;Gearbox Collectibles;This 1:18 replica features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine. Color black.;548;72,56;168,75;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S18_3320;33;86,31;1;1917 Maxwell Touring Car;Vintage Cars;01:18;Exoto Designs;Features Gold Trim, Full Size Spare Tire, Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System;7913;57,54;99,21;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S18_4409;36;88,35;11;1932 Alfa Romeo 8C2300 Spider Sport;Vintage Cars;01:18;Exoto Designs;This 1:18 scale precision die cast replica features the 6 front headlights of the original, plus a detailed version of the 142 horsepower straight 8 engine, dual spares and their famous comprehensive dashboard. Color black.;6553;43,26;92,03;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S18_4933;44;61,29;12;1957 Ford Thunderbird;Classic Cars;01:18;Studio M Art Models;This 1:18 scale precision die-cast replica, with its optional porthole hardtop and factory baked-enamel Thunderbird Bronze finish, is a 100% accurate rendition of this American classic.;3209;34,21;71,27;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S24_1046;47;63,2;16;1970 Chevy Chevelle SS 454;Classic Cars;01:24;Unimax Art Galleries;This model features rotating wheels, working streering system and opening doors. All parts are particularly delicate due to their precise scale and require special care and attention. It should not be picked up by the doors, roof, hood or trunk.;1005;49,24;73,49;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S24_1937;39;31,86;6;1939 Chevrolet Deluxe Coupe;Vintage Cars;01:24;Motor City Art Classics;This 1:24 scale die-cast replica of the 1939 Chevrolet Deluxe Coupe has the same classy look as the original. Features opening trunk, hood and doors and a showroom quality baked enamel finish.;7332;22,57;33,19;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S24_2022;31;39,87;5;1938 Cadillac V-16 Presidential Limousine;Vintage Cars;01:24;Classic Metal Creations;This 1:24 scale precision die cast replica of the 1938 Cadillac V-16 Presidential Limousine has all the details of the original, from the flags on the front to an opening back seat compartment complete with telephone and rifle. Features factory baked-enamel black finish, hood goddess ornament, working jump seats.;2847;20,61;44,8;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S24_2766;36;87,24;14;1949 Jaguar XK 120;Classic Cars;01:24;Classic Metal Creations;Precision-engineered from original Jaguar specification in perfect scale ratio. Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.;2350;47,25;90,87;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S24_2887;20;116,27;13;1952 Citroen-15CV;Classic Cars;01:24;Exoto Designs;Precision crafted hand-assembled 1:18 scale reproduction of the 1952 15CV, with its independent spring suspension, working steering system, opening doors and hood, detailed engine and instrument panel, all topped of with a factory fresh baked enamel finish.;1452;72,82;117,44;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
10182;11/12/2019;11/21/2019;11/18/2019;Shipped;S24_3191;33;73,62;15;1969 Chevrolet Camaro Z28;Classic Cars;01:24;Exoto Designs;1969 Z/28 Chevy Camaro 1:24 scale replica. The operating parts of this limited edition 1:24 scale diecast model car 1969 Chevy Camaro Z28- hood, trunk, wheels, streering, suspension and doors- are particularly delicate due to their precise scale and require special care and attention.;4695;50,51;85,61;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;210500;Leslie;Jennings;ljennings@classicmodelcars.com;Sales Rep;1;San Francisco;+1 650 219 4782;CA;USA;94080;NA
